Year,SS_No,STD_Obs,Obs,Marker
1932,35,5,365,1
1933,19,4,366,1
1934,9,3,365,1
1935,15,4,365,1
1936,60,7,365,1
1937,133,10,366,1
1938,191,12,365,1
1939,183,12,365,1
1940,148,11,365,1
1941,113,10,366,1
1942,79,8,365,1
1943,51,6,365,1
1944,27,5,365,1
1945,16,4,366,1
1946,55,7,365,1
1947,154,11,365,1
1948,215,10,365,1
1949,193,9,366,1
1950,191,9,365,1
1951,119,7,365,1
1952,98,7,365,1
1953,45,5,366,1
1954,20,3,365,1
1955,7,2,365,1
1956,54,5,365,1
1957,201,10,366,1
1958,269,11,365,1
1959,262,11,365,1
1960,225,10,365,1
1961,159,8,366,1
1962,76,6,365,1
1963,53,5,365,1
1964,40,4,365,1
1965,15,3,366,1
1966,22,3,365,1
1967,67,5,365,1
1968,133,8,365,1
1969,150,8,366,1
1970,149,8,365,1
1971,148,8,365,1
1972,94,7,365,1
1973,98,7,366,1
1974,54,5,365,1
1975,49,5,365,1
1976,23,3,365,1
1977,18,3,366,1
1978,39,4,365,1
1979,131,8,365,1
1980,220,10,365,1
1981,219,10,366,1
1982,199,13,3049,1
1983,162,12,3436,1
1984,91,8,4216,1
1985,61,6,5103,1
1986,21,4,5543,1
1987,15,4,5934,1
1988,34,4,6396,1
1989,123,8,6556,1
1990,211,13,6932,1
1991,192,11,7108,1
1992,203,13,6932,1
1993,133,9,7845,1
1994,76,6,8010,1
1995,45,4,8524,1
1996,25,4,8429,1
1997,12,3,7614,1
1998,29,4,7294,1
1999,88,7,6353,1
2000,136,9,6413,1
2001,174,10,5953,1
2002,170,11,6558,1
2003,164,10,6588,1
2004,99,7,7087,1
2005,65,6,6882,1
2006,46,5,7084,1
2007,25,4,6370,1
2008,13,3,6841,1
2009,4,3,6644,1
2010,5,3,6465,1
2011,25,3,6328,1
2012,81,7,6077,1
2013,85,7,5753,1
2014,94,7,5347,1
2015,113,8,5273,1
2016,70,6,8903,1
2017,40,4,9940,1
2018,22,3,11444,1
2019,7,1,12611,1
2020,4,1,12884,1
